国名,総人口,首都,距離,通貨,国名_結合用
インド,"1,407,564,000",デリー,"5,852",インドルピー,インド
アイスランド,"370,000",レイキャビク,"8,818",アイスランドクローナ,アイスランド
アメリカ,"336,998,000",ワシントンD.C.,"10,923",米ドル,米国
アイルランド,"4,987,000",ダブリン,"9,608",ユーロ,アイルランド
アゼルバイジャン,"10,313,000",バクー,"7,543",アゼルバイジャンマナット,アゼルバイジャン
インドネシア,"273,753,000",ジャカルタ,"5,775",ルピア,インドネシア
アフガニスタン,"40,099,000",カブール,"6,281",アフガニ,アフガニスタン
パキスタン,"231,402,000",イスラマバード,"5,991",パキスタンルピー,パキスタン
ブラジル,"214,326,000",ブラジリア,"17,674",ブラジルレアル,ブラジル
フィリピン,"113,880,000",マニラ,"2,995",フィリピンペソ,フィリピン
ナイジェリア,"213,401,000",アブジャ,"12,981",ナイラ,ナイジェリア
アラブ首長国連邦,"9,365,000",アブダビ,"8,071",アラブ首長国連邦ディルハム,アラブ首長国連邦
バングラデシュ,"169,356,000",ダッカ,"4,895",タカ,バングラデシュ
アルジェリア,"44,178,000",アルジェ,"10,823",アルジェリアディナール,アルジェリア
パラオ,"18,000",マルキョク,"3,167",米ドル,パラオ
アルゼンチン,"45,277,000",ブエノスアイレス,"18,374",アルゼンチンペソ,アルゼンチン
アルバニア,"2,855,000",ティラナ,"9,511",レク,アルバニア
ベトナム,"97,468,000",ハノイ,"3,674",ドン,ベトナム
アルメニア,"2,791,000",エレバン,"7,951",アルメニアドラム,アルメニア
アンゴラ,"34,504,000",ルアンダ,"13,851",クワンザ,アンゴラ
エチオピア,"120,283,000",アディスアベバ,"10,412",エチオピアブル,エチオピア
アンドラ,"79,000",アンドララベラ,"10,362",ユーロ,アンドラ
イエメン,"32,982,000",サヌア,"9,516",イエメンリアル,イエメン
カンボジア,"16,589,000",プノンペン,"4,405",リエル,カンボジア
イギリス,"67,281,000",ロンドン,"9,582",英ポンド,英国
エジプト,"109,262,000",カイロ,"9,585",エジプトポンド,エジプト
イスラエル,"8,900,000",エルサレム,"9,169",新イスラエルシェケル,イスラエル
イタリア,"59,240,000",ローマ,"9,877",ユーロ,イタリア
イラク,"43,534,000",バグダッド,"8,369",イラクディナール,イラク
タイ,"71,601,000",バンコク,"4,608",バーツ,タイ
イラン,"87,923,000",テヘラン,"7,681",イランリアル,イラン
ブータン,"777,000",ティンプー,"4,789",ニュルタム,ブータン
トルコ,"84,775,000",アンカラ,"8,784",トルコリラ,トルコ
ドイツ,"83,409,000",ベルリン,"8,938",ユーロ,ドイツ
ウガンダ,"45,854,000",カンパラ,"11,533",ウガンダシリング,ウガンダ
ナウル,"13,000",ヤレン,"4,905",オーストラリアドル,ナウル
ウクライナ,"43,531,000",キエフ,"8,220",フリヴニャ,ウクライナ
パプアニューギニア,"9,949,000",ポートモレスビー,"5,058",キナ,パプアニューギニア
ウズベキスタン,"34,081,000",タシケント,"6,010",ウズベキスタンスム,ウズベキスタン
ウルグアイ,"3,426,000",モンテビデオ,"18,579",ペソウルグアイ,ウルグアイ
フランス,"64,531,000",パリ,"9,735",ユーロ,フランス
エクアドル,"17,798,000",キト,"14,443",米ドル,エクアドル
エストニア,"1,329,000",タリン,"7,897",ユーロ,エストニア
ネパール,"30,035,000",カトマンズ,"5,167",ネパールルピー,ネパール
エリトリア,"3,620,000",アスマラ,"9,975",ナクファ,エリトリア
シンガポール,"5,941,000",シンガポール,"5,308",シンガポールドル,シンガポール
エルサルバドル,"6,314,000",サンサルバドル,"12,507",エルサルバドルコロン,エルサルバドル
オマーン,"4,520,000",マスカット,"7,772",Rial Omani,オマーン
オランダ,"17,502,000",アムステルダム,"9,311",ユーロ,オランダ
ソロモン諸島,"708,000",ホニアラ,"5,431",ソロモン諸島ドル,ソロモン諸島
オーストラリア,"25,921,000",キャンベラ,"7,922",オーストラリアドル,豪州
ケニア,"53,006,000",ナイロビ,"11,262",ケニアシリング,ケニア
オーストリア,"8,922,000",ウィーン,"9,150",ユーロ,オーストリア
カザフスタン,"19,196,000",アスタナ,"5,569",テンゲ,カザフスタン
コロンビア,"51,517,000",ボゴタ,"14,318",コロンビアペソ,コロンビア
スペイン,"47,487,000",マドリード,"10,786",ユーロ,スペイン
カタール,"2,688,000",ドーハ,"8,266",カタールリアル,カタール
カナダ,"38,155,000",オタワ,"10,342",カナダドル,カナダ
スーダン,"45,657,000",ハルツーム,"10,501",スーダンポンド,スーダン
カメルーン,"27,199,000",ヤウンデ,"13,081",CFAフランBEAC,カメルーン
カーボベルデ,"588,000",,,カーボベルデ・エスクード,カーボベルデ
タジキスタン,"9,750,000",ドゥシャンベ,"6,149",ソモニ,タジキスタン
ガイアナ,"805,000",ジョージタウン,"14,943",ガイアナドル,ガイアナ
ガンビア,"2,640,000",バンジュール,"14,023",ダラシ,ガンビア
ガーナ,"32,833,000",アクラ,"13,818",ガーナセディ,ガーナ
ツバル,"11,000",フナフティ,"6,409",オーストラリアドル,ツバル
キプロス,"1,244,000",ニコシア,"9,071",ユーロ,キプロス
キューバ,"11,256,000",ハバナ,"12,136",ペソコンバーチブル,キューバ
スリランカ,"21,773,000",スリジャヤワルダナプラコッテ,"6,854",スリランカルピー,スリランカ
ポーランド,"38,308,000",ワルシャワ,"8,600",ズロチ,ポーランド
