地域,国名,年月,四半期,月,人数,昨対比,人口比,通貨為替レート(円) の平均,為替昨対比,月,四半期
,,2022-05-01 00:00:00,Qtr 2,May,,,,113.22,114.521%,5,2
オセアニア,ニュージーランド,2022-05-01 00:00:00,Qtr 2,May,,,,82.29,104.336%,5,2
オセアニア,豪州,2022-05-01 00:00:00,Qtr 2,May,1500,1764.706%,0.006%,90.58,106.879%,5,2
ヨーロッパ,イタリア,2022-05-01 00:00:00,Qtr 2,May,900,957.447%,0.001%,,,5,2
ヨーロッパ,スイス,2022-05-01 00:00:00,Qtr 2,May,,,,131.35,108.473%,5,2
ヨーロッパ,スウェーデン,2022-05-01 00:00:00,Qtr 2,May,,,,12.95,98.930%,5,2
ヨーロッパ,スペイン,2022-05-01 00:00:00,Qtr 2,May,500,316.456%,0.001%,,,5,2
ヨーロッパ,デンマーク,2022-05-01 00:00:00,Qtr 2,May,,,,18.31,102.577%,5,2
ヨーロッパ,ドイツ,2022-05-01 00:00:00,Qtr 2,May,2200,1013.825%,0.003%,,,5,2
ヨーロッパ,トルコ,2022-05-01 00:00:00,Qtr 2,May,,,,8.23,63.259%,5,2
ヨーロッパ,ノルウェー,2022-05-01 00:00:00,Qtr 2,May,,,,13.37,101.750%,5,2
ヨーロッパ,フランス,2022-05-01 00:00:00,Qtr 2,May,2000,956.938%,0.003%,,,5,2
ヨーロッパ,ポーランド,2022-05-01 00:00:00,Qtr 2,May,,,,29.33,99.932%,5,2
ヨーロッパ,ロシア,2022-05-01 00:00:00,Qtr 2,May,400,250.000%,0.000%,2.00,135.135%,5,2
ヨーロッパ,英国,2022-05-01 00:00:00,Qtr 2,May,1900,984.456%,0.003%,160.23,104.045%,5,2
近隣アジア,韓国,2022-05-01 00:00:00,Qtr 2,May,8800,926.316%,0.017%,10.15,104.531%,5,2
近隣アジア,香港,2022-05-01 00:00:00,Qtr 2,May,700,1076.923%,0.009%,16.41,116.714%,5,2
近隣アジア,台湾,2022-05-01 00:00:00,Qtr 2,May,1900,581.040%,0.008%,4.35,111.253%,5,2
近隣アジア,中国,2022-05-01 00:00:00,Qtr 2,May,17600,965.442%,0.001%,19.13,112.596%,5,2
東南アジア,インド,2022-05-01 00:00:00,Qtr 2,May,4500,980.392%,0.000%,1.67,111.333%,5,2
東南アジア,インドネシア,2022-05-01 00:00:00,Qtr 2,May,8700,2852.459%,0.003%,0.88,115.789%,5,2
東南アジア,シンガポール,2022-05-01 00:00:00,Qtr 2,May,1200,3243.243%,0.020%,93.14,113.433%,5,2
東南アジア,タイ,2022-05-01 00:00:00,Qtr 2,May,2900,1234.043%,0.004%,3.74,107.163%,5,2
東南アジア,フィリピン,2022-05-01 00:00:00,Qtr 2,May,6700,1073.718%,0.006%,2.46,107.895%,5,2
東南アジア,ベトナム,2022-05-01 00:00:00,Qtr 2,May,39000,9176.471%,0.039%,,,5,2
東南アジア,マレーシア,2022-05-01 00:00:00,Qtr 2,May,1600,1095.890%,0.005%,29.38,111.078%,5,2
南アメリカ,メキシコ,2022-05-01 00:00:00,Qtr 2,May,200,540.541%,0.000%,6.43,117.550%,5,2
北アメリカ,カナダ,2022-05-01 00:00:00,Qtr 2,May,900,1428.571%,0.002%,100.16,111.067%,5,2
北アメリカ,米国,2022-05-01 00:00:00,Qtr 2,May,8100,845.511%,0.002%,128.80,117.949%,5,2
,,2022-04-01 00:00:00,Qtr 2,April,,,,111.44,113.212%,4,2
オセアニア,ニュージーランド,2022-04-01 00:00:00,Qtr 2,April,,,,85.43,110.048%,4,2
オセアニア,豪州,2022-04-01 00:00:00,Qtr 2,April,1100,1157.895%,0.004%,93.07,110.864%,4,2
ヨーロッパ,イタリア,2022-04-01 00:00:00,Qtr 2,April,800,879.121%,0.001%,,,4,2
ヨーロッパ,スイス,2022-04-01 00:00:00,Qtr 2,April,,,,133.70,113.180%,4,2
ヨーロッパ,スウェーデン,2022-04-01 00:00:00,Qtr 2,April,,,,13.21,103.042%,4,2
ヨーロッパ,スペイン,2022-04-01 00:00:00,Qtr 2,April,400,506.329%,0.001%,,,4,2
ヨーロッパ,デンマーク,2022-04-01 00:00:00,Qtr 2,April,,,,18.35,104.618%,4,2
ヨーロッパ,ドイツ,2022-04-01 00:00:00,Qtr 2,April,1600,1151.079%,0.002%,,,4,2
ヨーロッパ,トルコ,2022-04-01 00:00:00,Qtr 2,April,,,,8.57,64.147%,4,2
